campaign_id,open_rate,click_rate,conversion_rate,age,segment,engagement
39,0.3722064440992725,0.06200145509680219,0.0629275545034005,48,New Customer,1
29,0.605469611670778,0.3474360756095511,0.059728918221020916,23,New Customer,0
15,0.6972292992402219,0.48954049985560283,0.2821936030081571,24,VIP,0
43,0.4489168092556356,0.3660361742926158,0.2284624644228327,38,New Customer,1
8,0.6420741456463934,0.4650773909458944,0.20886917805724312,55,Returning Customer,1
21,0.27259001151488793,0.4041093093482032,0.07167864512335759,60,New Customer,0
39,0.4560272076179515,0.08992619080717258,0.03557202991228514,45,New Customer,0
19,0.3089224652524793,0.13210984758973077,0.26124978638560503,61,New Customer,1
23,0.3606506941788727,0.1775141448635517,0.001763870802735279,38,New Customer,0
11,0.5993103986095014,0.09244761772562202,0.11642892711030588,38,VIP,0
11,0.7112468617495346,0.2950091530097733,0.08328375088840007,41,VIP,1
24,0.14112154331582405,0.4879707568261261,0.17111286010464707,44,VIP,0
36,0.5259794423655354,0.38311482838371774,0.07515253076575042,44,VIP,1
40,0.48660785568334886,0.21745950704305633,0.09336160779849238,30,Returning Customer,0
24,0.13881127938194893,0.012207195680341443,0.25501195649795805,46,Returning Customer,1
3,0.2089207478300818,0.1635052454577076,0.1809566470213556,56,VIP,0
22,0.2832518710495102,0.2681120509691855,0.04370475819881051,45,VIP,0
2,0.17519830311312612,0.1688829281874656,0.21794146304874945,54,VIP,1
24,0.23279711189325636,0.06440711228169117,0.062237760443963515,46,New Customer,0
44,0.2507005991462806,0.22695482886232832,0.12990147903374402,39,Returning Customer,0
30,0.3017553747792947,0.13409388031320094,0.193982171051788,53,Returning Customer,1
38,0.6120428396008692,0.45552386446613574,0.08157886123724618,47,New Customer,0
2,0.47893415288795055,0.059859718965497716,0.11523204440273765,45,New Customer,0
21,0.7896850039635511,0.034084788075108084,0.22024487919124525,40,New Customer,1
33,0.36105187022560326,0.012603942885882404,0.281373286027303,50,Returning Customer,1
12,0.6153988053776938,0.17075414539797232,0.1587735170878419,21,New Customer,1
22,0.7036013160324004,0.33358955071843543,0.002991291466986823,20,New Customer,1
44,0.5592338697785315,0.3679027389120784,0.10153912537254914,49,New Customer,1
25,0.358898555313122,0.23209822485704434,0.11959030045366033,21,VIP,1
49,0.6151959730593147,0.3453210387230807,0.10175208600067322,18,New Customer,1
27,0.20275035332951363,0.1863578777455281,0.1308806583346688,29,VIP,1
42,0.29566412388509933,0.3372250477934423,0.1897998761455199,30,Returning Customer,0
28,0.46001394132446655,0.029892032798162965,0.036338408099325946,51,Returning Customer,0
16,0.48155704046461123,0.20146896243783202,0.08178915266025165,46,Returning Customer,1
15,0.0666061066044721,0.39751634204025776,0.15229442580528738,26,VIP,0
47,0.7588356415670066,0.40347295492491064,0.09467199245399252,48,New Customer,1
44,0.5724704534130425,0.36091290164909035,0.2973256014406078,24,Returning Customer,0
3,0.4217778126739183,0.11007692407923356,0.12942944011124646,30,New Customer,0
37,0.7498454258062313,0.13113050827601028,0.26093974607766485,19,VIP,1
7,0.3793216739381214,0.498083476359611,0.2689529506841593,50,Returning Customer,0
21,0.7853266777027789,0.06065522352896035,0.250802099916705,24,New Customer,0
9,0.43421356793261384,0.0985247224621806,0.014069472283550342,35,New Customer,0
